"agecat_cdc","sex_cdc","year_cdc","allcause","sncause","smncause","cardcause","pulcause","extcause","othcause"
13,1,2001,172.499571790171,28.033470149017,26.9248824801913,62.2276109697842,22.5317668254744,4.41928403316564,55.2874398127296
13,1,2002,174.936230119827,27.8976770262715,26.8096784635137,62.6741378482563,23.1391352695836,4.46427880021249,56.7610011755029
13,1,2003,170.536414185911,27.1618389165753,26.0633492278066,60.6986543874948,22.2126571419391,4.51053317102588,55.9527305688757
13,1,2004,164.322601553398,26.7664951544226,25.684786257367,57.2769211026761,20.9381722164665,4.45081160792547,54.8902014719075
13,1,2005,165.389058651766,26.7916755549769,25.7624784949067,57.1315183634797,21.1116990478196,4.49217505492283,55.8619906305667
13,1,2006,159.10141663209,26.0288858593642,25.0027990173802,53.5916332431062,19.4903812590968,4.37634599806374,55.6141702724595
13,1,2007,156.201592231157,26.1505514562814,25.0835406681747,51.5428975996023,19.0480255279193,4.50215787240559,54.9579597749487
13,1,2008,157.095742518406,25.5554740337765,24.4435036029285,50.8355113680785,19.6907170615595,4.53448190837941,56.4795581466117
13,1,2009,151.429080178201,25.2813990516018,24.1219767573863,48.6283146828848,18.1946319669784,4.40949274122121,54.9152417355144
13,1,2010,154.142726153684,25.6861705367275,24.5256272214179,48.3360423852546,18.3446305175397,4.62373420037895,57.1521485137835
13,1,2011,150.697588469001,24.5566980372487,23.3983183960085,46.227478517971,18.4781087894827,4.50944417312338,56.9258589511755
13,1,2012,149.744428937803,24.1564169237482,23.0311812479729,45.8266230760888,17.8128371570131,4.60837470653497,57.3401770744176
13,1,2013,149.115821375642,23.8585706015628,22.7257366359386,45.6424828899461,18.1361183515184,4.66014491263024,56.818504619984
13,1,2014,146.422086910093,23.652488608823,22.5040057016344,44.5342977681402,17.0527424889834,4.7433007929843,56.4392572511618
13,1,2015,147.957639661169,23.3206303827718,22.2021084506356,44.9506001477258,17.7054847127671,4.90917068405527,57.0717537338486
13,1,2016,145.338345222562,23.2546745995111,22.1840372556625,44.0345678324268,16.4995912071099,4.89068217397812,56.6588294095357
13,1,2017,145.338345222562,23.2546745995111,22.1840372556625,44.0345678324268,16.4995912071099,4.89068217397812,56.6588294095357
1,2,1975,11.5581244190846,0.0469723115837831,0.0287705408450671,0.168513167806822,0.485576270997357,0.341136412877225,10.5159262558194
1,2,1976,11.5581244190846,0.0469723115837831,0.0287705408450671,0.168513167806822,0.485576270997357,0.341136412877225,10.5159262558194
1,2,1977,11.5581244190846,0.0469723115837831,0.0287705408450671,0.168513167806822,0.485576270997357,0.341136412877225,10.5159262558194
1,2,1978,11.5581244190846,0.0469723115837831,0.0287705408450671,0.168513167806822,0.485576270997357,0.341136412877225,10.5159262558194
1,2,1979,11.5581244190846,0.0469723115837831,0.0287705408450671,0.168513167806822,0.485576270997357,0.341136412877225,10.5159262558194
1,2,1980,11.2079616194658,0.0443271983733055,0.0267099785069918,0.196630905604663,0.405764354340258,0.356322479231571,10.204916681916
1,2,1981,10.6576384170188,0.0361793273584682,0.0226120795990426,0.196725092511671,0.349921931795184,0.336919986025735,9.7378920793277
1,2,1982,10.2113756998453,0.0557146207979337,0.0378859421425949,0.17605820172147,0.325373385459933,0.309773291636511,9.34445620022943
1,2,1983,9.95725676391975,0.0484949644182296,0.034961485975933,0.235144187934904,0.347359280018947,0.302247685211291,9.02401064633637
1,2,1984,9.62254651884641,0.0547592798819435,0.030173480751275,0.239711541524018,0.307881257295417,0.288324371623294,8.73187006852174
1,2,1985,9.31583812530763,0.0529308984392479,0.0316494031904781,0.216089028679816,0.306671803328426,0.287573025541068,8.45257336931907
1,2,1986,9.09930178814083,0.046405511009298,0.024021676287166,0.228751871916422,0.273519541360686,0.307914214226401,8.24271064962802
1,2,1987,8.93856071413772,0.0446658964041801,0.0269071665085422,0.217948048719192,0.28683039498106,0.306203554867211,8.08291281916608
1,2,1988,8.86326049270982,0.0403757355462732,0.022547488681685,0.201878677731366,0.263753181555525,0.306226357909397,8.05102653996726
1,2,1989,8.77214339771176,0.042607843495304,0.0289124652289563,0.17803991746252,0.227749068207042,0.327167369696084,7.99657919885081
1,2,1990,8.13075456064104,0.0404196346755117,0.0207027397118474,0.173508675680245,0.23956027380852,0.29476757970678,7.38249839676998
1,2,1991,7.8421848631599,0.0313528142136739,0.016422902683353,0.153280425044628,0.242362230508876,0.298100566888741,7.11708882650398
1,2,1992,7.60647066922115,0.0358058355443017,0.021685224343732,0.167934411778204,0.219878088694585,0.261231307210539,6.92162102599352
1,2,1993,7.43422984463807,0.0322848611161645,0.0163986596145598,0.151687601434678,0.221381904796557,0.291076208158436,6.73779926913224
1,2,1994,7.19933601978678,0.0336756506394747,0.0160606949203649,0.163715470801139,0.195318773708953,0.280285030707013,6.5263410939302
1,2,1995,6.80998763157867,0.0341523953439251,0.017864329872207,0.1649823405845,0.194931364193788,0.278473377419697,6.13744815403676
1,2,1996,6.58701093206047,0.0410307341239991,0.0231455423263585,0.152550165332817,0.182534163346509,0.288793244026609,5.92210262523053
